day,susceptible,exposed,infected,recovered,asymptomatic,mobility
0,98,0,0,0,2,100
1,98,0,0,0,2,100
2,95,3,0,0,2,98
3,95,3,2,0,0,98
4,95,3,2,0,0,98
5,91,4,2,0,3,98
6,90,5,2,0,3,98
7,90,5,2,0,3,95
8,89,2,5,0,4,97
9,88,2,3,2,5,97
10,84,6,3,2,5,93
11,81,8,7,2,2,92
12,79,9,8,2,2,92
13,76,8,8,2,6,94
14,74,7,6,5,8,93
15,70,9,7,5,9,89
16,67,9,11,5,8,90
17,64,10,10,9,7,89
18,61,9,11,10,9,86
19,59,8,14,10,9,85
20,56,8,15,11,10,82
21,51,10,18,12,9,83
22,50,9,17,16,8,83
23,46,10,17,19,8,82
24,42,9,18,21,10,83
25,39,11,17,24,9,82
26,35,11,18,26,10,81
27,34,8,19,30,9,83
28,32,7,17,33,11,82
29,28,7,18,36,11,81
30,27,7,19,39,8,80
31,26,6,20,41,7,79
32,23,5,21,44,7,83
33,21,6,17,49,7,82
34,21,5,18,50,6,82
35,20,3,18,54,5,85
36,19,2,15,58,6,87
37,19,2,13,61,5,88
38,19,1,12,65,3,87
39,19,0,13,66,2,89
40,19,0,11,68,2,92
41,19,0,8,72,1,92
42,19,0,8,73,0,93
43,18,1,7,74,0,96
44,18,1,4,77,0,98
45,18,1,2,79,0,98
46,18,0,2,79,1,99
47,18,0,1,80,1,100
48,18,0,0,81,1,99
49,18,0,1,81,0,99
50,18,0,1,81,0,99
51,18,0,1,81,0,99
52,18,0,1,81,0,99
53,18,0,1,81,0,99
54,18,0,1,81,0,100
